observation_date,NASDAQCOM,NASDAQCOM_PC1,VXNCLS_VIXCLS
1977-01-01,96.898,16.21662,
1977-02-01,96.090,7.60105,
1977-03-01,95.701,6.05044,
1977-04-01,95.005,5.39493,
1977-05-01,96.945,8.57171,
1977-06-01,97.865,10.25004,
1977-07-01,101.349,10.82732,
1977-08-01,100.580,10.68401,
1977-09-01,100.413,9.85455,
1977-10-01,99.247,10.89066,
1977-11-01,100.692,12.46534,
1977-12-01,103.710,9.68639,
1978-01-01,100.780,4.00666,
1978-02-01,102.445,6.61332,
1978-03-01,104.010,8.68190,
1978-04-01,110.769,16.59290,
1978-05-01,119.077,22.83002,
1978-06-01,122.012,24.67302,
1978-07-01,122.119,20.49360,
1978-08-01,132.540,31.77627,
1978-09-01,135.235,34.67783,
1978-10-01,127.678,28.64625,
1978-11-01,114.122,13.33819,
1978-12-01,117.249,13.05367,
1979-01-01,123.718,22.76007,
1979-02-01,124.549,21.57672,
1979-03-01,128.080,23.14244,
1979-04-01,133.446,20.47243,
1979-05-01,131.349,10.30538,
1979-06-01,135.640,11.16917,
1979-07-01,138.580,13.47986,
1979-08-01,146.686,10.67274,
1979-09-01,149.204,10.32960,
1979-10-01,140.527,10.06346,
1979-11-01,138.783,21.60880,
1979-12-01,148.749,26.86602,
1980-01-01,155.141,25.39863,
1980-02-01,161.644,29.78351,
1980-03-01,141.100,10.16550,
1980-04-01,136.287,2.12908,
1980-05-01,145.685,10.91456,
1980-06-01,155.429,14.58979,
1980-07-01,166.926,20.45413,
1980-08-01,177.729,21.16321,
1980-09-01,189.486,26.99801,
1980-10-01,195.758,39.30312,
1980-11-01,200.686,44.60399,
1980-12-01,198.399,33.37858,
1981-01-01,198.818,28.15293,
1981-02-01,194.852,20.54398,
1981-03-01,203.593,44.28951,
1981-04-01,215.120,57.84376,
1981-05-01,216.544,48.63840,
1981-06-01,220.040,41.56971,
1981-07-01,209.721,25.63712,
1981-08-01,206.626,16.25910,
1981-09-01,185.372,-2.17079,
1981-10-01,190.201,-2.83844,
1981-11-01,199.229,-0.72579,
1981-12-01,197.150,-0.62959,
1982-01-01,187.679,-5.60268,
1982-02-01,182.628,-6.27331,
1982-03-01,173.284,-14.88717,
1982-04-01,181.844,-15.46844,
1982-05-01,184.607,-14.74831,
1982-06-01,172.075,-21.79847,
1982-07-01,169.625,-19.11859,
1982-08-01,167.383,-18.99249,
1982-09-01,185.093,-0.15079,
1982-10-01,203.862,7.18215,
1982-11-01,226.970,13.92442,
1982-12-01,233.030,18.19984,
1983-01-01,241.478,28.66583,
1983-02-01,256.058,40.20732,
1983-03-01,266.452,53.76625,
1983-04-01,279.528,53.71833,
1983-05-01,302.438,63.82808,
1983-06-01,319.349,85.58715,
1983-07-01,316.094,86.34845,
1983-08-01,296.874,77.36233,
1983-09-01,300.370,62.28071,
1983-10-01,286.723,40.64563,
1983-11-01,278.667,22.77661,
1983-12-01,278.656,19.57910,
1984-01-01,282.004,16.78255,
1984-02-01,254.387,-0.65295,
1984-03-01,251.250,-5.70540,
1984-04-01,245.207,-12.27820,
1984-05-01,245.243,-18.91128,
1984-06-01,238.516,-25.31177,
1984-07-01,232.404,-26.47636,
1984-08-01,250.346,-15.67259,
1984-09-01,252.005,-16.10190,
1984-10-01,247.154,-13.80041,
1984-11-01,246.398,-11.57963,
1984-12-01,241.912,-13.18606,
1985-01-01,260.799,-7.51962,
1985-02-01,285.521,12.23907,
1985-03-01,280.797,11.75987,
1985-04-01,280.895,14.55414,
1985-05-01,287.460,17.21445,
1985-06-01,290.438,21.76846,
1985-07-01,302.043,29.96462,
1985-08-01,298.247,19.13399,
1985-09-01,287.933,14.25704,
1985-10-01,285.358,15.45772,
1985-11-01,304.353,23.52064,
1985-12-01,320.232,32.37557,
1986-01-01,328.521,25.96726,
1986-02-01,348.786,22.15783,
1986-03-01,368.232,31.13813,
1986-04-01,382.541,36.18672,
1986-05-01,388.487,35.14455,
1986-06-01,398.595,37.23959,
1986-07-01,385.885,27.75857,
1986-08-01,375.617,25.94152,
1986-09-01,358.293,24.43629,
1986-10-01,355.033,24.41645,
1986-11-01,358.079,17.65270,
