observation_date,NROU_UNRATE,CPIAUCSL_PC1_GDPC1_PC1,GDPC1_PC1
1977-01-01,1.1720690000000000,2.67656,3.22684
1977-04-01,0.9679834365844729,2.33139,4.46530
1977-07-01,0.5646910000000001,0.80360,5.76999
1977-10-01,0.1622430000000000,1.58077,5.01327
1978-01-01,0.0606890000000000,2.36112,4.11411
1978-04-01,-0.3399270000000000,0.95029,6.07793
1978-07-01,-0.2395744323730470,2.77699,5.24703
1978-10-01,-0.2382345199584960,2.26997,6.65956
1979-01-01,-0.4359094619750980,3.27273,6.51045
1979-04-01,-0.5326169999999990,8.09821,2.65670
1979-07-01,-0.3283935546875000,9.33364,2.38945
1979-10-01,-0.2232900000000000,11.35789,1.28409
1980-01-01,0.0826294898986820,12.78947,1.42055
1980-04-01,1.3892910000000001,15.20084,-0.77507
1980-07-01,1.2966120000000003,14.55907,-1.62375
1980-10-01,1.0045043945312500,12.57741,-0.03905
1981-01-01,1.2128769999999991,9.66107,1.60000
1981-04-01,1.3216385841369629,6.90485,2.96867
1981-07-01,1.4306975364685059,6.52730,4.32572
1981-10-01,2.3399690000000000,8.28334,1.29983
1982-01-01,2.8493729999999999,9.77202,-2.19052
1982-04-01,3.4588404655456539,7.91755,-1.01075
1982-07-01,3.9683130000000002,8.37251,-2.55604
1982-10-01,4.6777460000000000,5.88683,-1.44318
1983-01-01,4.1871109999999998,2.16261,1.43147
1983-04-01,3.9963940000000000,0.03128,3.26848
1983-07-01,3.1055995941162111,-3.21051,5.73697
1983-10-01,2.2147459999999999,-4.66617,7.89966
1984-01-01,1.7238690000000001,-3.95220,8.57805
1984-04-01,1.1330180000000001,-3.59169,7.99653
1984-07-01,1.2422390000000001,-2.60503,6.90073
1984-10-01,1.2515786170959471,-1.42134,5.57564
1985-01-01,1.1610970000000005,-0.91373,4.55482
1985-04-01,1.3708604812622069,-0.07690,3.68399
1985-07-01,1.0809430000000000,-0.90993,4.26242
1985-10-01,0.9914220000000000,-0.66869,4.18246
1986-01-01,1.2023779999999999,-1.04071,4.14611
1986-04-01,1.2138899999999999,-2.02342,3.70200
1986-07-01,1.0260324478149421,-1.45097,3.11918
1986-10-01,0.6388746261596679,-1.56167,2.90724
1987-01-01,0.6524744987487791,-0.67325,2.71158
1987-04-01,0.2668745040893555,0.34557,3.35360
1987-07-01,-0.0179015159606930,0.90088,3.26199
1987-10-01,-0.2018550000000000,-0.06901,4.47456
1988-01-01,-0.1850150000000000,-0.27585,4.24126
1988-04-01,-0.4674400000000000,-0.50454,4.48449
1988-07-01,-0.4492169999999994,-0.05084,4.19320
1988-10-01,-0.5304524421691895,0.50702,3.79934
1989-01-01,-0.8112673759460450,0.35935,4.31516
