observation_date,UNRATE,CPIAUCSL_PC1
1977-01-01,7.5,5.19713
1977-02-01,7.6,6.08229
1977-03-01,7.4,6.42857
1977-04-01,7.2,6.95187
1977-05-01,7.0,6.73759
1977-06-01,7.2,6.70194
1977-07-01,6.9,6.66667
1977-08-01,7.0,6.63176
1977-09-01,6.8,6.42361
1977-10-01,6.8,6.39033
1977-11-01,6.8,6.71256
1977-12-01,6.4,6.67808
1978-01-01,6.4,6.81431
1978-02-01,6.3,6.23946
1978-03-01,6.3,6.37584
1978-04-01,6.1,6.50000
1978-05-01,6.0,7.14286
1978-06-01,5.9,7.43802
1978-07-01,6.2,7.73026
1978-08-01,5.9,7.85597
1978-09-01,6.0,8.48287
1978-10-01,5.8,8.92857
1978-11-01,5.9,8.87097
1978-12-01,6.0,8.98876
1979-01-01,5.9,9.25040
1979-02-01,5.9,9.84127
1979-03-01,5.8,10.25237
1979-04-01,5.8,10.48513
1979-05-01,5.6,10.69767
1979-06-01,5.7,11.07692
1979-07-01,5.7,11.45038
1979-08-01,6.0,11.83612
1979-09-01,5.9,11.87970
1979-10-01,6.0,12.07154
1979-11-01,5.9,12.59259
1979-12-01,6.0,13.25479
1980-01-01,6.3,13.86861
1980-02-01,6.3,14.16185
1980-03-01,6.3,14.59227
1980-04-01,6.9,14.58924
1980-05-01,7.5,14.42577
1980-06-01,7.6,14.26593
1980-07-01,7.8,13.15068
1980-08-01,7.7,12.89009
1980-09-01,7.5,12.76882
1980-10-01,7.5,12.63298
1980-11-01,7.5,12.63158
1980-12-01,7.2,12.35371
1981-01-01,7.5,11.79487
1981-02-01,7.4,11.39241
1981-03-01,7.4,10.61174
1981-04-01,7.2,10.13597
1981-05-01,7.5,9.79192
1981-06-01,7.5,9.69697
1981-07-01,7.2,10.77482
1981-08-01,7.4,10.81731
1981-09-01,7.6,10.96544
1981-10-01,7.9,10.27155
1981-11-01,8.3,9.57944
1981-12-01,8.5,8.91204
1982-01-01,8.6,8.25688
1982-02-01,8.9,7.61364
1982-03-01,9.0,6.88488
1982-04-01,9.3,6.62177
1982-05-01,9.4,6.91193
1982-06-01,9.6,7.18232
1982-07-01,9.8,6.55738
1982-08-01,9.8,5.96529
1982-09-01,10.1,4.94092
1982-10-01,10.4,5.03212
1982-11-01,10.8,4.47761
1982-12-01,10.8,3.82572
1983-01-01,10.4,3.70763
1983-02-01,10.4,3.48469
1983-03-01,10.3,3.59029
1983-04-01,10.2,4.00000
1983-05-01,10.1,3.44108
1983-06-01,10.1,2.47423
1983-07-01,9.4,2.35897
1983-08-01,9.5,2.45650
1983-09-01,9.2,2.76356
1983-10-01,8.8,2.75229
1983-11-01,8.5,3.16327
1983-12-01,8.3,3.78710
1984-01-01,8.0,4.29009
1984-02-01,7.8,4.69388
1984-03-01,7.8,4.89297
1984-04-01,7.7,4.55466
1984-05-01,7.4,4.33468
1984-06-01,7.2,4.32596
1984-07-01,7.5,4.30862
1984-08-01,7.5,4.29570
1984-09-01,7.3,4.28287
1984-10-01,7.4,4.26587
1984-11-01,7.2,4.15430
1984-12-01,7.3,4.04339
1985-01-01,7.3,3.52595
1985-02-01,7.2,3.60624
1985-03-01,7.2,3.79009
1985-04-01,7.3,3.58180
1985-05-01,7.2,3.57488
1985-06-01,7.4,3.66442
1985-07-01,7.4,3.45821
1985-08-01,7.1,3.35249
1985-09-01,7.1,3.24737
1985-10-01,7.1,3.23501
1985-11-01,7.0,3.51377
1985-12-01,7.0,3.79147
1986-01-01,6.7,3.97351
1986-02-01,7.2,3.19849
1986-03-01,7.2,2.15356
1986-04-01,7.1,1.58879
1986-05-01,7.2,1.67910
1986-06-01,7.2,1.76744
1986-07-01,7.0,1.67131
1986-08-01,6.9,1.57553
1986-09-01,7.0,1.75763
1986-10-01,7.0,1.56682
1986-11-01,6.9,1.28440
1986-12-01,6.6,1.18721
1987-01-01,6.6,1.36488
1987-02-01,6.6,1.91431
1987-03-01,6.6,2.84143
1987-04-01,6.3,3.67985
1987-05-01,6.3,3.66972
1987-06-01,6.2,3.74771
1987-07-01,6.1,3.92694
1987-08-01,6.0,4.28832
1987-09-01,5.9,4.27273
1987-10-01,6.0,4.35572
1987-11-01,5.8,4.52899
1987-12-01,5.7,4.33213
1988-01-01,5.7,4.12926
1988-02-01,5.7,3.93560
1988-03-01,5.7,3.83244
1988-04-01,5.4,3.99290
1988-05-01,5.6,3.98230
1988-06-01,5.4,3.96476
1988-07-01,5.4,4.13005
1988-08-01,5.6,4.11199
1988-09-01,5.4,4.18483
1988-10-01,5.4,4.26087
1988-11-01,5.3,4.24610
1988-12-01,5.3,4.41176
1989-01-01,5.4,4.48276
1989-02-01,5.2,4.64716
1989-03-01,5.0,4.89270
1989-04-01,5.2,5.03413
1989-05-01,5.2,5.27660
1989-06-01,5.3,5.16949
1989-07-01,5.2,5.06329
1989-08-01,5.2,4.62185
1989-09-01,5.3,4.43515
1989-10-01,5.3,4.58716
1989-11-01,5.4,4.65503
1989-12-01,5.4,4.63960
1990-01-01,5.4,5.19802
1990-02-01,5.3,5.26316
1990-03-01,5.2,5.23732
1990-04-01,5.4,4.71162
1990-05-01,5.4,4.36540
1990-06-01,5.2,4.67365
1990-07-01,5.5,4.81928
1990-08-01,5.7,5.70281
1990-09-01,5.9,6.16987
1990-10-01,5.9,6.37959
1990-11-01,6.2,6.19539
1990-12-01,6.3,6.25495
1991-01-01,6.4,5.64706
1991-02-01,6.6,5.31250
1991-03-01,6.8,4.82115
1991-04-01,6.7,4.80993
1991-05-01,6.9,5.03486
1991-06-01,6.9,4.69592
1991-07-01,6.8,4.36782
1991-08-01,6.9,3.79939
1991-09-01,6.9,3.39623
1991-10-01,7.0,2.84858
1991-11-01,7.0,3.06657
1991-12-01,7.3,2.98063
1992-01-01,7.3,2.67261
1992-02-01,7.4,2.81899
1992-03-01,7.4,3.18991
1992-04-01,7.4,3.18283
1992-05-01,7.6,3.02360
1992-06-01,7.8,3.01471
1992-07-01,7.7,3.15712
1992-08-01,7.6,3.07467
1992-09-01,7.6,2.99270
1992-10-01,7.3,3.27988
1992-11-01,7.4,3.12046
1992-12-01,7.4,2.96671
1993-01-01,7.3,3.25380
1993-02-01,7.1,3.24675
1993-03-01,7.0,3.01941
1993-04-01,7.1,3.15638
1993-05-01,7.1,3.22119
1993-06-01,7.0,2.99786
1993-07-01,6.9,2.84698
1993-08-01,6.8,2.84091
1993-09-01,6.7,2.76400
1993-10-01,6.8,2.75229
1993-11-01,6.6,2.74455
1993-12-01,6.5,2.81096
1994-01-01,6.6,2.45098
1994-02-01,6.6,2.51572
1994-03-01,6.5,2.65178
1994-04-01,6.4,2.36439
1994-05-01,6.1,2.28849
1994-06-01,6.1,2.49480
1994-07-01,6.1,2.69896
1994-08-01,6.0,2.90055
1994-09-01,5.9,2.96552
1994-10-01,5.8,2.60989
1994-11-01,5.6,2.60274
1994-12-01,5.5,2.59740
1995-01-01,5.6,2.87081
1995-02-01,5.4,2.86299
1995-03-01,5.4,2.78722
1995-04-01,5.8,3.12500
1995-05-01,5.6,3.11864
1995-06-01,5.6,3.04260
1995-07-01,5.7,2.83019
1995-08-01,5.7,2.61745
1995-09-01,5.6,2.54521
1995-10-01,5.5,2.74431
1995-11-01,5.6,2.60347
1995-12-01,5.6,2.53165
1996-01-01,5.6,2.79070
1996-02-01,5.5,2.71703
1996-03-01,5.5,2.84392
1996-04-01,5.6,2.83267
1996-05-01,5.6,2.82709
1996-06-01,5.3,2.82152
1996-07-01,5.5,2.88336
1996-08-01,5.1,2.81230
1996-09-01,5.2,3.00457
1996-10-01,5.2,3.06189
1996-11-01,5.4,3.25309
1996-12-01,5.4,3.37882
1997-01-01,5.3,3.03814
1997-02-01,5.2,3.03226
1997-03-01,5.2,2.76527
1997-04-01,5.1,2.43434
1997-05-01,4.9,2.23785
1997-06-01,5.0,2.23357
1997-07-01,4.9,2.16561
1997-08-01,4.8,2.29008
1997-09-01,4.9,2.21940
1997-10-01,4.7,2.08597
1997-11-01,4.6,1.89036
1997-12-01,4.7,1.69705
1998-01-01,4.6,1.63112
1998-02-01,4.6,1.44020
1998-03-01,4.7,1.37672
1998-04-01,4.3,1.43840
1998-05-01,4.4,1.68856
1998-06-01,4.5,1.62297
1998-07-01,4.5,1.74564
1998-08-01,4.5,1.61692
1998-09-01,4.6,1.42680
1998-10-01,4.5,1.48607
1998-11-01,4.4,1.48423
1998-12-01,4.4,1.60692
1999-01-01,4.3,1.66667
1999-02-01,4.4,1.66667
